职位,公司,规模,薪资,城市,区域,经验,学历,领域,技能,福利
数字媒体作品集导师,斯芬克,1000-9999人,15-20K,苏州,苏州工业园区,经验不限,硕士,培训/辅导机构,"视觉设计,数媒设计,可兼职","节日福利,定期体检,年终奖,租房优惠,员工旅游,五险一金,通讯补贴,团建聚餐,零食下午茶,生日福利,带薪年假,新东方员工内"
数字内容项目导演/项目经理,青岛万像,20-99人,10-15K,青岛,崂山区,5-10年,本科,计算机软件,"MG/3D动画,宣传片,短视频","年终奖,带薪年假,五险一金,定期体检,节日福利,零食下午茶,步步高红包"
数字媒体作品集导师,斯凯达悦教育,100-499人,8-13K,北京,朝阳区,1-3年,硕士,培训/辅导机构,"平面设计,数字媒体,视觉传达","定期体检,员工旅游,年终奖,带薪年假,五险一金,零食下午茶,交通补助,节日福利"
元宇宙数字文旅方案策划,宽创,500-999人,12-24K,上海,浦东新区,5-10年,本科,广告/公关/会展,"留学生优先,国内院校优先,英美留学生,欧洲留学生,小语种国家留学生,用户/功能产品,商业产品,内容产品,AI产品,其他行业,文化科技元宇宙人工智能产业规划,文博大数据数字文旅方案产品设计,数字孪生人工智能商业应用软件","年终奖,定期体检,餐补,带薪年假,五险一金,交通补助,免费班车,包吃,节日福利"
数字媒体设计 讲师,汉艺国际教育,100-499人,12-24K,北京,朝阳区,经验不限,硕士,培训/辅导机构,"Axure,交互体验设计,UI设计,代码","股票期权,补充医疗保险,五险一金,年终奖,带薪年假,员工旅游,节日福利"
项目管培生（数字人&元宇宙）,飞游科技,20-99人,8-10K·13薪,北京,海淀区,经验不限,本科,音乐/视频/阅读,"计算机相关专业,数字媒体艺术,软件/信息技术项目","五险一金,年终奖,零食下午茶,提供住宿"
艺术老师,江苏海拓文化传媒...,0-20人,3-4K,泰州,姜堰区,1-3年,大专,文化艺术/娱乐,"销售经验,小班教学（3～25人）,教学,美术类,兴趣教育类,艺术类专业背景,坐班,培训机构,线下教育,全职",
艺术设计,武汉博森形象企划...,20-99人,7-9K,武汉,东西湖区,3-5年,本科,广告/公关/会展,"室内设计,工业设计,设计主管,CAD,美工,CorelDRAW,3DMax,PhotoShop,公共艺术设计","节日福利,五险一金,定期体检,包吃,带薪年假,员工旅游,年终奖,住房补贴,通讯补贴,餐补"
艺术教育,新米格,20-99人,1-2K,太原,小店区,1年以内,本科,学术/科研,"兼职,线下教育,青少年","年终奖,全勤奖,工龄奖,员工旅游,带薪年假,保底工资,绩效奖金,节日福利,底薪加提成,工龄奖"
艺术教师,ACG国际艺术,500-999人,10-11K,北京,朝阳区,1年以内,本科,在线教育,"教师,美术,艺术,艺考","员工旅游,零食下午茶,五险一金,节日福利,带薪年假,绩效奖金"
艺术团助理,芳柏龄文化传媒,20-99人,5-9K,烟台,芝罘区,经验不限,学历不限,文化艺术/娱乐,经纪人助理,"有无线网,交通补助,绩效奖金,通讯补贴,全勤奖"
艺术顾问,中艺堂,100-499人,8-13K,北京,大兴区,1-3年,大专,文化艺术/娱乐,"客服经验,售后服务,客户签约,客户邀约,金融产品,大客户销售,电商销售,全职","绩效奖金,保底工资,底薪加提成,全勤奖,五险一金"
沙画艺术老师,海艺艺术教育培训...,0-20人,3-8K,海口,美兰区,1-3年,本科,培训/辅导机构,"教师,教研,沙画",
少儿艺术教师,翔添,20-99人,2-3K,重庆,巴南区,1-3年,大专,培训/辅导机构,"线下教育,不坐班,早幼教,兼职",补充医疗保险
语言艺术老师,七色豆,20-99人,4-5K,重庆,渝中区,经验不限,大专,培训/辅导机构,"教师,教研,助教,主持培训,教育培训,集体授课,一对一授课,普通话水平证书","交通补助,全勤奖,绩效奖金,免费工装,餐补,底薪加提成,带薪年假,保底工资,年终奖,五险一金,生日福利,节日福利,工龄奖"
艺术品经纪人,北京金祺盛拍卖,20-99人,7-12K,无锡,梁溪区,经验不限,学历不限,租赁/拍卖/典当/担保,"无经验要求,电话销售经验","底薪加提成,保底工资,生日福利,绩效奖金,五险一金,节日福利,全勤奖,年终奖,带薪年假,员工旅游"
艺术指导师,姿仪,20-99人,4-9K,张家界,永定区,经验不限,本科,培训/辅导机构,"美术,绘画,教师,学前教育,早教幼教,艺术,手工,陶艺","五险一金,餐补,全勤奖,加班补助,节日福利,通讯补贴"
艺术教育顾问,泰安保利剧院,20-99人,3-4K·13薪,泰安,泰山区,1年以内,大专,文化艺术/娱乐,"培训机构,线下教育,学前儿童/小学生,大型教育机构经验,熟练使用办公软件,普通话发音标准,销售经验","年终奖,节日福利,定期体检,带薪年假,五险一金,包吃"
昕芽艺术中心,惠州市昕芽文化传媒,0-20人,5-6K,惠州,,经验不限,学历不限,培训/辅导机构,"全职,培训机构,线上教育",
艺术校区主管,小花朵朵,100-499人,4-8K,桂林,象山区,1-3年,大专,培训/辅导机构,教研,"带薪年假,五险一金,全勤奖"
艺术助理,迈志商策,0-20人,4-5K,佛山,顺德区,经验不限,大专,其他专业服务,"经纪人助理,普通助理",
艺术主管,卡莱特教育,20-99人,4-8K,汉中,洋县,1-3年,大专,培训/辅导机构,"教师资格证,普通话水平证书,K12教育","通讯补贴,节日福利,年终奖,加班补助,五险一金,全勤奖,包住,带薪年假,员工旅游,包吃"
音伦艺术琴行,音伦艺术琴行,0-20人,5-6K,武汉,江岸区,经验不限,本科,培训/辅导机构,"教师,一对一授课,兼职,全职兼职均可",
艺术老师,木也文化艺术,0-20人,4-6K,鄂尔多斯,,在校/应届,大专,文化艺术/娱乐,"视觉设计,手绘,小学教育,学前教育,教师,助教,全职,艺术",
艺术老师,星悦,0-20人,5-6K,通化,东昌区,1-3年,学历不限,培训/辅导机构,"排舞经验,全职兼职均可,街舞,国标舞,线下教育,不坐班,舞蹈考级证书,早幼教,中国舞",
艺术设计,广德绘声文化传媒,0-20人,6-7K,宣城,广德市,经验不限,本科,其他生活服务,"公共艺术设计,视觉设计,全职/兼职",
艺术老师,豆芽糖艺术学校,0-20人,5-6K,衡水,安平县,1-3年,本科,培训/辅导机构,"平面模特,全职兼职均可,模特,T台模特,不支持远程办公,少儿模特","工龄奖,底薪加提成,加班补助,全勤奖,保底工资,绩效奖金"
艺术培训,优图教育,0-20人,3-4K,白城,洮北区,经验不限,本科,在线教育,"美术,音乐,绘画,艺术,教师",
艺术老师,北流市馨源尚非遗...,0-20人,4-8K,玉林,,1-3年,中专/中技,文化艺术/娱乐,"全职,线上教育,教研,课程研发,课程销售,大学生/大专生,水彩/水粉画,国画,艺术类专业背景",
艺术顾问,九色文化科技有限公司,100-499人,3-6K,长沙,芙蓉区,经验不限,大专,文化艺术/娱乐,"电话销售经验,网络营销经验,面销/陌拜经验,个人（To C）,互联网金融,医疗/大健康,房地产,会展销售,门店/柜台销售,面销/陌拜","节日福利,零食下午茶,周末双休,生日福利,年终奖,意外险,带薪年假,员工旅游,工龄奖,底薪加提成,全勤奖,五险一金,高温补贴,团建聚餐,保底工资"
艺术老师,小星鹿艺术培训学校,100-499人,5-6K,济南,历下区,经验不限,大专,培训/辅导机构,台词,
艺术装置,郑州市管城回族区...,0-20人,5-10K,郑州,管城回族区,经验不限,大专,批发/零售,"橱窗设计,节日/主题设计,陈列规划,执行陈列师,陈列项目管理,PS,AI,接受居家办公",
艺术老师,梓嘉教育咨询服务,0-20人,5-6K,宜宾,翠屏区,1年以内,大专,在线教育,"美术,绘画,教师,幼师,教师资格证","包吃,带薪年假,加班补助,年终奖,全勤奖,员工旅游,五险一金,交通补助,通讯补贴"
艺术编辑,中青教育,0-20人,7-12K,深圳,罗湖区,1-3年,本科,培训/辅导机构,文字编辑,
艺术老师,安吉递铺王欣音乐...,0-20人,10-11K,湖州,安吉县,经验不限,高中,培训/辅导机构,"全职,培训机构,线下教育,坐班,不坐班,一对一教学,小班教学（3-25人）,学前儿童/小学生,特长兴趣类,乐器类,口才/播音主持类,美术类,艺术类专业背景,大型教育机构经验,教育学专业背景,销售经验",
艺术线条业务顾问,沃阔装饰材料,20-99人,3-6K,郑州,管城回族区,经验不限,大专,房屋建筑工程,"装饰品,AutoCAD,SketchUp,良好的方案沟通能力","员工旅游,节日福利,保底工资,底薪加提成,全勤奖"
汉语语言艺术教师,望牛墩维一培训,0-20人,5-9K,东莞,望牛墩镇,1-3年,本科,培训/辅导机构,"全职,培训机构,线下教育,教师,小班教学（3-25人）,普通话水平测试等级考试,二级乙等",
环境艺术设计师,嘉誉电子电器,20-99人,5-8K,中山,,经验不限,本科,机械设备/机电/重工,短期出差,"住房补贴,零食下午茶,通讯补贴,补充医疗保险,加班补助,包吃,全勤奖,节日福利,员工旅游,五险一金"
艺术服务顾问,辰影星光,20-99人,15-30K,北京,朝阳区,3-5年,大专,广播/影视,企业（To B）,"带薪年假,零食下午茶,全勤奖,五险一金,年终奖"
艺术漆施工,库尔勒金芙蓉窗帘店,0-20人,5-7K,巴音郭楞蒙古自治州,库尔勒市,经验不限,高中,装修装饰,月休四天,
艺术馆讲解员,张掖市三缘博物馆,0-20人,2-3K,张掖,甘州区,经验不限,本科,旅游/景区,"景区,旅游相关专业,普通话标准",
艺术涂料师傅,湛江市霞山区罗图...,0-20人,5-6K,湛江,霞山区,1-3年,高中,装修装饰,"总包施工员,内装,驾驶证",
艺术品导购,福州市长乐区漳港...,0-20人,5-10K,福州,长乐区,经验不限,学历不限,其他行业,"五险一金,,珠宝/手表/首饰,不需要晚班/夜班,线下,线上,不需要长时间站立,月结,需要导购经验,不需要倒班,全职","免费工装,五险一金,年终奖,法定节假日三薪,工龄奖,餐补,全勤奖,节假日加班费,保底工资,包住,住房补贴,绩效奖金,宿舍有空调,底薪加提成,加班补助,有无线网"
艺术漆师傅,东之升装饰,0-20人,10-11K,惠州,惠阳区,3-5年,学历不限,建筑材料,一级建造师,
民族艺术助手,云领科技,0-20人,4-5K,鄂尔多斯,,经验不限,大专,其他专业服务,"民族艺术,民族服装","年终奖,全勤奖,五险一金,交通补助,带薪年假,餐补,通讯补贴,员工旅游,定期体检"
艺术环创师,万脉,0-20人,5-10K,南京,建邺区,1-3年,本科,玩具/礼品,"公共艺术设计,美术,雕塑,绘画","零食下午茶,餐补,节日福利,定期体检,住房补贴,员工旅游,五险一金"
艺术类教师,神墨教育,500-999人,3-6K,绥化,海伦市,1-3年,学历不限,培训/辅导机构,"幼师,就业老师,小学教育,学前教育,初中教育,集体授课,线下授课,艺术","五险一金,底薪加提成,团建聚餐,绩效奖金,节日福利"
艺术体操老师,勤脉诚教育,100-499人,4-9K,重庆,潼南区,1-3年,本科,学前教育,"私立学校,线下教育,教师,学前儿童/小学生,体操,健美操,全职","节日福利,全勤奖,员工旅游,包吃,年终奖,周末双休,五险"
艺术大赛推广,河北中政文企,20-99人,8-10K,石家庄,长安区,3-5年,大专,文化艺术/娱乐,"销售岗,客户开发","交通补助,带薪年假,员工旅游,五险一金,绩效奖金,加班补助,工龄奖,生日福利,团建聚餐,保底工资,有无线网,底薪加提成"
艺术类教师,青梦,0-20人,20-25元/时,文山壮族苗族自治州,文山市,1-3年,大专,培训/辅导机构,"教师资格证,培训师,双语教师,小学教育,全职兼职均可,教师资格证(小学),普通话水平证书,艺术",
艺术家助理,金胜文化,20-99人,4-5K,绍兴,,1-3年,本科,广告/公关/会展,普通助理,"加班补助,餐补,绩效奖金,全勤奖,生日福利,包吃,年终奖"
艺术类老师,互艺联盟,20-99人,10-15K,乌鲁木齐,天山区,经验不限,学历不限,培训/辅导机构,"学前教育,小学教育,初中教育,培训师,幼儿园园长,就业老师,全职兼职均可,艺术","年终奖,免费工装,带薪年假,员工旅游,保底工资,补充医疗保险,节日福利,底薪加提成,工龄奖,绩效奖金,团建聚餐,生日福利,住房补贴"
艺术馆馆长,辽宁唐艺,20-99人,10-11K,鞍山,岫岩满族自治县,10年以上,本科,文化艺术/娱乐,"分公司负责人,团队管理,线下推广,线上推广,旅游",
艺术培训机构校长,夏一美术培训,20-99人,8-12K,金华,金东区,3-5年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,中学生,校区运营经验,团队管理经验,营销/管理类背景,销售经验","带薪年假,全勤奖,住房补贴,年终奖,员工旅游,节日福利,定期体检,提供住宿,五险一金,餐补,股票期权,交通补助,通讯补贴,加班补助"
艺术博主经纪人兼助理,开运创意,0-20人,5-6K,深圳,南山区,1-3年,大专,广播/影视,"经纪人助理,艺术助理,博主助理","五险一金,股票期权"
艺术作品集导师,沐岛教育科技,100-499人,15-25K,上海,长宁区,1-3年,硕士,培训/辅导机构,"全职,兼职,培训机构,线下教育,线上教育,文案撰写,活动策划,不坐班,教师,教研,课程研发,一对一教学,留学生,艺术留学,大型教育机构经验,留学背景,艺术类专业背景,销售经验","长假,团建聚餐,五险一金,股票期权,保底工资,年终奖,全勤奖,有无线网,底薪加提成,生日福利,绩效奖金,零食下午茶,带薪年假,节日福利"
艺术培训机构校长,白天鹅文化艺体中心,20-99人,6-11K·13薪,六安,金安区,3-5年,大专,培训/辅导机构,"销售经验,教师资格证,校区运营,团队管理经验,营销/管理类背景,有经验舞蹈老师加管理,机构运营经验2年以上,培训机构,校区运营经验,学前儿童/小学生,口才老师有管理经验","五险一金,定期体检"
星启点艺术学校,星启点艺术学校,100-499人,3-4K,永州,冷水滩区,1-3年,大专,培训/辅导机构,"全职,兼职,培训机构,线下教育,教师,小班教学（3-25人）,成人,学前儿童/小学生,中学生,儿童画,动漫,素描,教育学专业背景,艺术类专业背景,课程/课件研发能力,销售经验,教师资格证","带薪年假,交通补助,全勤奖,年终奖,节日福利"
艺术招生驻校校长,河南艺志坚教育,0-20人,4-9K,三门峡,义马市,1-3年,大专,培训/辅导机构,"培训机构,私立学校,中学生,团队管理经验,校区运营经验,营销/管理类背景,销售经验",
资深角色艺术家,预言软件,100-499人,8-13K·13薪,武汉,洪山区,3-5年,大专,计算机软件,"次世代高模,ZBrush","年终奖,员工旅游,绩效奖金,五险一金,加班补助,节日福利,夜班补助,生日福利,带薪年假,底薪加提成,工龄奖,交通补助,节假日加班费,餐补,团建聚餐,零食下午茶,全勤奖"
艺术团副团长,济源市沁园男阿姨...,0-20人,5-8K,济源,,3-5年,高中,文化艺术/娱乐,"短视频,综艺,话剧","加班补助,底薪加提成,绩效奖金"
艺术家合伙人,上海令姜文化传播,0-20人,20-21K,上海,宝山区,经验不限,本科,文化艺术/娱乐,艺术行业,
语言艺术老师,课外喵教育科技（...,500-999人,150-230元/天,珠海,香洲区,经验不限,本科,互联网,"线下教育,不坐班,青少年,兼职,教师资格证","带薪年假,五险一金,全勤奖"
少儿艺术类教师,天津市橡木咨询中心,20-99人,3-6K,天津,滨海新区,1-3年,本科,培训/辅导机构,"教师,幼师,教师资格证,幼师资格证,艺术,美术","五险一金,节日福利,年终奖,带薪年假,能量零食"
艺术类行政岗,天地黄河,0-20人,3-4K,太原,迎泽区,经验不限,大专,培训/辅导机构,教育培训,职业技能培训
艺术教学管理主管,彩飞美术教育,100-499人,6-11K,邯郸,丛台区,3-5年,本科,培训/辅导机构,"私立学校,培训机构,线下教育,中学生,大学/大专生,熟练使用办公软件,教育工作经验,大型教育机构经验,销售经验",
艺术照明设计师,热潮美学,0-20人,6-10K,杭州,滨江区,1-3年,大专,广告/公关/会展,"楼体亮化,灯光亮化,灯光美陈展,灯饰画,商场景观,插画设计,平面设计","零食下午茶,年终奖,通讯补贴,餐补,员工旅游,五险一金,定期团建,股票期权,节日福利,带薪年假,交通补助"
孩童艺术管理师,梵曦教育,0-20人,5-10K,呼和浩特,赛罕区,1-3年,大专,在线教育,"教师资格证,销售经验,熟练使用办公软件,私立学校,教育专业背景,坐班,小班教学（3-25人）,培训机构,授课,线下教育,学前儿童/小学生,排课系统经验","带薪培训,零食下午茶,带薪年假,年终奖,节日福利,五险,加班补助"
艺术学校前台,艺扬艺术培训学校,0-20人,5-6K,银川,金凤区,1-3年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,大型教育机构经验,教育学相关专业,熟练使用办公软件","加班补助,员工旅游,带薪年假,通讯补贴,节日福利,全勤奖,补充医疗保险,餐补,年终奖"
语言艺术老师,启尔智文化中心,0-20人,4-9K,赣州,石城县,经验不限,本科,其他行业,英语,
艺术机构校长,加百艺教育,20-99人,8-12K,长春,朝阳区,3-5年,本科,培训/辅导机构,"培训机构,学前儿童/小学生,团队管理经验,校区运营经验,大型教育机构经验,销售经验,声乐,音乐,乐器","工龄奖,夜班补助,全勤奖,年终奖,通讯补贴,节假日加班费,意外险,定期体检,加班补助,五险一金,保底工资"
南京市建邺区大吴...招聘油漆工,南京市建邺区大吴...,0-20人,5-10K,南京,建邺区,经验不限,学历不限,装修装饰,"初级油漆工资格证,油漆工学徒,无学徒经验,月结,包住,小白 无需工作经验","全勤奖,意外险,住房补贴,生日福利,有无线网,员工旅游,加班补助,宿舍有空调,免费工装,绩效奖金,包住"
艺术设计老师,南昌天行创世纪,100-499人,5-7K,南昌,新建区,经验不限,本科,学校/学历教育,"全职,私立学校,线下教育,小班教学（3-25人）,中学生",
环境艺术设计,鹰高公司,0-20人,8-13K,中山,,3-5年,本科,文化艺术/娱乐,"不接受居家办公,医疗机构,3D设计",
高阶艺术老师,毓德教育咨询,20-99人,5-6K,沧州,运河区,1-3年,本科,学前教育,"学前教育,幼师,绘画,艺术,美术,早教,手工","五险一金,年终奖,带薪年假,节日福利"
艺术教育专员,珠海金湾中演联港...,20-99人,5-6K,珠海,金湾区,1-3年,本科,文化艺术/娱乐,"熟练使用办公软件,教育工作经验,线下教育","免费停车,定期培训,节日福利,定期体检,五险一金"
江西赛倍科技有限公司招聘油漆工,江西赛倍科技有限公司,20-99人,9-12K,南昌,西湖区,3-5年,学历不限,工程施工,"月结,包住","通讯补贴,节日福利,年终奖,交通补助,五险一金"
星艺招聘门店店长,星艺,20-99人,5-10K,玉林,玉州区,3-5年,大专,装修装饰,"管理经验,销售经验",
元乾招聘油漆工,元乾,0-20人,8-11K,广州,,经验不限,学历不限,装修装饰,"无学徒经验,月结,包吃","员工旅游,五险一金,全勤奖,年终奖,定期体检"
艺术培训校长,鼓琴世家,0-20人,5-10K,郴州,北湖区,3-5年,本科,培训/辅导机构,"销售经验,营销/管理类背景,团队管理经验,校长任职资格培训合格证书,校长,大型教育机构经验,培训机构,学前儿童/小学生","全勤奖,加班补助,交通补助,通讯补贴"
自由陶艺艺术家,三森园林,0-20人,2-3K,沈阳,铁西区,经验不限,学历不限,建筑设计,"设计助理,接受居家办公",
语言艺术老师,蓓星教育,0-20人,5-8K,广州,花都区,1-3年,中专/中技,学前教育,"线下教育,不坐班,青少年,编排成品剧目,表演教学经验,艺术相关工作经历,普通话一级乙等资格证,普通话一级甲等资格证,全职兼职均可,幼教,幼儿园,幼师","五险一金,交通补助,加班补助,员工旅游"
艺术舞蹈指导,艺旅国际文化,20-99人,5-8K,玉林,玉州区,1年以内,中专/中技,文化艺术/娱乐,"民族舞,舞蹈,民族古典舞","年终奖,通讯补贴,五险一金,带薪年假,员工旅游,零食下午茶"
艺术培训校长,艾迪尔教育,100-499人,4-5K,洛阳,,1-3年,学历不限,学前教育,培训机构,"团建聚餐,有无线网,包吃,年终奖,宿舍有空调,住房补贴,包住,生日福利,带薪年假,员工旅游,加班补助,全勤奖,工龄奖,零食下午茶,节日福利"
艺术培训校长,曲阜夫子学堂教育科技,100-499人,8-13K,济宁,曲阜市,经验不限,学历不限,培训/辅导机构,"培训机构,团队管理经验,校区运营经验","年终奖,五险一金"
艺术策展人,山西长合文化艺术交流,0-20人,3-5K,太原,万柏林区,1-3年,本科,文化艺术/娱乐,艺术/文化展,"法定节假日三薪,节日福利,节假日加班费,保底工资,底薪加提成,加班补助,绩效奖金"
艺术中心校长,正广艺术培训有限公司,500-999人,5-9K,嘉兴,桐乡市,1-3年,大专,培训/辅导机构,"培训机构,校长任职资格培训合格证书",
艺术科研助理,武汉师院国际教育科技,0-20人,5-10K,武汉,武昌区,3-5年,硕士,培训/辅导机构,"学术型人才踏实稳重,艺术类专业",
艺术漆助理,自宅装,0-20人,3-5K,成都,双流区,经验不限,高中,装修装饰,交通补助,
艺术体操教练,钟玲艺术体操俱乐部,0-20人,10-11K,福州,鼓楼区,1-3年,本科,音乐/视频/阅读,"退役运动员,运动员等级证书,教师,小班教学（3-25人）,培训机构,线下教育,全职,班主任,体操,体育,芭蕾舞,体育教育工作经验,健美操,不坐班,学前儿童/小学生","员工旅游,年终奖,零食下午茶,五险一金,节日福利,带薪年假"
艺术品经纪人,雷跃卓景集团,100-499人,6-10K,西安,雁塔区,经验不限,中专/中技,文化艺术/娱乐,"内容红人（非直播方向）,肢体残疾,艺术品,视力残疾,轻度/中度视力残疾,古玩字画瓷器,肢体残疾无限制","团建聚餐,五险一金,员工旅游,绩效奖金,全勤奖,底薪加提成,节日福利"
艺术学校校长,长春市博丞伍拾柒...,0-20人,4-6K,长春,宽城区,3-5年,大专,培训/辅导机构,"校区运营,学前教育",
合伙人（艺术专业）,查查艺术教育,100-499人,20-30K,岳阳,岳阳楼区,经验不限,学历不限,培训/辅导机构,公司管理,"交通补助,带薪年假,加班补助,年终奖,包吃,零食下午茶,五险一金,通讯补贴,全勤奖,员工旅游,节日福利,餐补"
艺术留学顾问,新航道国际教育集团,1000-9999人,8-13K,青岛,市南区,经验不限,本科,培训/辅导机构,全职工作,"定期体检,保底工资,生日福利,加班补助,五险一金,员工旅游,高温补贴,绩效奖金,工龄奖,底薪加提成,带薪年假,年终奖,零食下午茶,团建聚餐,节日福利"
涂作招聘油漆工,涂作,0-20人,6-8K,西安,雁塔区,1年以内,大专,建筑材料,弹性工作制,"团建聚餐,底薪加提成,有无线网,免费工装,审美培养,零食下午茶,保底工资"
环境艺术设计,郑州菜鸟广告设计,20-99人,8-13K,郑州,中原区,3-5年,本科,广告/公关/会展,"展厅,购物商场,3Ds MAX,SketchUp,独立完成效果图,不接受居家办公,党建,文化墙","节日福利,五险一金,底薪加提成,全勤奖,零食下午茶,带薪年假,交通补助,绩效奖金"
语言艺术老师,小雨滴教育,0-20人,4-5K,广州,白云区,3-5年,本科,学术/科研,"教师,主持培训,教育培训,少儿小主持",五险一金
语言艺术老师,六弦之家,100-499人,3-8K,德州,庆云县,经验不限,大专,培训/辅导机构,"销售经验,大型教育机构经验,播音主持,艺术类专业背景,艺术,坐班,语言类,小班教学（3-25人）,培训机构,线下教育,普通话发音标准,全职",
酒店|艺术设计师,永续设计,0-20人,7-10K,北京,朝阳区,3-5年,本科,工程施工,"CAD,3DMax,Sketchup,PhotoShop,酒店空间",
美术艺术老师,湖州梦响教育咨询,0-20人,5-10K,湖州,吴兴区,1-3年,本科,培训/辅导机构,"手绘,教师,艺术,陶艺教学经验,小班教学（3-25人）,培训机构,线下教育,线下授课,全职,美术,雕塑/陶艺,视觉设计,教育学专业背景,艺术类专业背景,儿童画,坐班,水彩/水粉画,学前儿童/小学生",
艺术培训校长,博睿文化传播有限公司,20-99人,6-8K,太原,小店区,3-5年,本科,培训/辅导机构,"培训机构,中学生,学前儿童/小学生,团队管理经验,大型教育机构经验,营销/管理类背景,销售经验","五险一金,补充医疗保险,定期体检"
语言艺术老师,中青爱嘉教育,0-20人,6-7K,佛山,禅城区,1-3年,大专,学术/科研,"表演教学经验,艺术相关工作经历,表演/播音主持相关专业背景,早幼教,艺考,青少年",
画师（艺术总监）,齐天恒创数据科技,20-99人,5-6K,太原,小店区,经验不限,本科,咨询,"手绘基础好,美术设计专业","带薪年假,生日福利,节日福利,年终奖,工龄奖,五险一金,保底工资,绩效奖金,全勤奖"
艺术培训校长,音偲蓓艺术培训,100-499人,15-25K,杭州,滨江区,3-5年,大专,学前教育,"招生,渠道,续费","五险一金,员工旅游,带薪年假,年终奖,节日福利,餐补"
艺术设计类,咚咚咚文化创意设计,20-99人,1-6K,西安,未央区,经验不限,本科,文化艺术/娱乐,"设计师,美术指导,设计师助理,艺术，绘画，设计,兼职,全职",
艺术培训前台,艺桐韵琴行有限公司,0-20人,2-3K,六盘水,钟山区,1-3年,学历不限,培训/辅导机构,,"加班补助,全勤奖,保底工资,底薪加提成,有无线网,餐补"
艺术机构前台,鄂州市葛店经济技...,0-20人,3-5K,鄂州,华容区,3-5年,大专,培训/辅导机构,"培训机构,线下教育,学前儿童/小学生,大型教育机构经验,排课系统经验,普通话发音标准,销售经验,富有亲和力",
艺术总监助理,兮其设计,0-20人,7-10K·13薪,杭州,余杭区,3-5年,大专,广告/公关/会展,"咨询,广告/传媒,电商,商务谈判,文件起草,人事行政,国企,民企/私企,驾驶证C1,英语可作为工作语言,有点想法,有点洁癖,有点气质","团建聚餐,零食下午茶,员工旅游,年终奖,包吃,加班补助,餐补,五险一金,生日福利,底薪加提成,节日福利"
视觉艺术兼行政,皇礼文化发展,0-20人,3-4K,昆明,五华区,经验不限,大专,培训/辅导机构,"VI设计,广告设计,海报传单设计,企业/自有品牌,CDR,PS,AI","带薪年假,员工旅游,零食下午茶,定期体检,五险一金,交通补助,餐补,全勤奖,年终奖,节日福利,教育进修奖励,加班补助"
